Date,Department,Baskets,Items,Avg_Items,Sales,Avg_Sale,Scan_Rate,Scan_Sales
9/2/22,Drinks,1,1,1,1.50,1.50,100,1.50
9/2/22,General Food,4,17,4.3,169.00,42.25,100,169.00
9/2/22,Meat/Fish,3,5,1.7,70.00,23.33,100,70.00
9/2/22,Service Fees,5,0,0,3.40,0.68,0,0.00
9/2/22,Snacks,1,2,2,5.50,5.50,100,5.50
9/3/22,General Food,11,70,6.4,741.26,67.38,100,741.26
9/3/22,Meat/Fish,2,2,1,30.00,15.00,100,30.00
9/3/22,Service Fees,11,0,0,6.04,0.54,0,0.00
9/3/22,Snacks,1,3,3,3.90,3.90,100,3.90
9/4/22,Cleaning&body,1,6,6,69.00,69.00,100,69.00
9/4/22,General Food,3,10,3.3,56.49,18.83,100,56.49
9/4/22,Service Fees,4,0,0,5.02,1.25,0,0.00
9/5/22,Drinks,2,5,2.5,44.00,22.00,100,44.00
9/5/22,General Food,10,47,4.7,661.31,66.13,100,661.31
9/5/22,Meat/Fish,3,4,1.3,70.00,23.33,100,70.00
9/5/22,Pinless Recharge,1,1,1,20.00,20.00,0,0.00
9/5/22,Service Fees,12,0,0,3.42,0.28,0,0.00
9/6/22,Drinks,1,1,1,1.50,1.50,100,1.50
9/6/22,General Food,6,78,13,658.93,109.82,100,658.93
9/6/22,Meat/Fish,2,3,1.5,50.00,25.00,100,50.00
9/6/22,Service Fees,7,0,0,0.00,0.00,0,0.00
9/6/22,Snacks,2,11,5.5,16.75,8.37,100,16.75
9/7/22,Cleaning&body,2,3,1.5,18.00,9.00,100,18.00
9/7/22,Drinks,10,18,1.8,337.50,33.75,100,337.50
9/7/22,General Food,18,58,3.2,930.39,51.68,100,930.39
9/7/22,Meat/Fish,6,6,1,90.00,15.00,100,90.00
9/7/22,Service Fees,21,0,0,1.26,0.06,0,0.00
9/7/22,Snacks,2,5,2.5,3.00,1.50,100,3.00
9/8/22,Drinks,3,9,3,122.00,40.66,100,122.00
9/8/22,General Food,9,37,4.1,558.35,62.03,100,558.35
9/8/22,Meat/Fish,3,5,1.7,70.00,23.33,100,70.00
9/8/22,Service Fees,10,0,0,4.40,0.44,0,0.00
9/8/22,Snacks,1,7,7,4.00,4.00,100,4.00
9/9/22,Drinks,7,12,1.7,356.50,50.92,100,356.50
9/9/22,General Food,18,94,5.2,1338.36,74.35,100,1338.36
9/9/22,Meat/Fish,4,9,2.3,113.50,28.37,100,113.50
9/9/22,Pinless Recharge,1,1,1,20.00,20.00,0,0.00
9/9/22,Service Fees,20,0,0,7.10,0.35,0,0.00
9/9/22,Snacks,2,3,1.5,2.50,1.25,100,2.50
9/10/22,Cleaning&body,1,1,1,5.00,5.00,100,5.00
9/10/22,Drinks,5,10,2,150.00,30.00,100,150.00
9/10/22,General Food,12,47,3.9,738.18,61.51,100,738.18
9/10/22,Meat/Fish,2,4,2,70.00,35.00,100,70.00
9/10/22,Service Fees,12,0,0,7.06,0.58,0,0.00
9/10/22,Snacks,2,3,1.5,3.00,1.50,100,3.00
9/11/22,Drinks,2,2,1,72.00,36.00,100,72.00
9/11/22,General Food,4,38,9.5,611.15,152.78,100,611.15
9/11/22,Meat/Fish,1,1,1,10.00,10.00,100,10.00
9/11/22,Service Fees,6,0,0,4.00,0.66,0,0.00
9/11/22,Snacks,3,9,3,9.00,3.00,100,9.00
9/12/22,Clothes,1,2,2,6.00,6.00,100,6.00
9/12/22,General Food,10,36,3.6,590.84,59.08,100,590.84
9/12/22,Service Fees,11,0,0,4.01,0.36,0,0.00
9/12/22,Snacks,2,7,3.5,5.50,2.75,100,5.50
9/13/22,Drinks,1,2,2,80.00,80.00,100,80.00
9/13/22,General Food,7,50,7.1,403.36,57.62,100,403.36
9/13/22,Meat/Fish,2,2,1,30.00,15.00,100,30.00
9/13/22,Service Fees,7,0,0,5.96,0.85,0,0.00
9/13/22,Snacks,1,7,7,3.50,3.50,100,3.50
9/14/22,Drinks,2,3,1.5,112.00,56.00,100,112.00
9/14/22,General Food,5,33,6.6,523.64,104.72,100,523.64
9/14/22,Meat/Fish,3,3,1,40.00,13.33,100,40.00
9/14/22,Service Fees,7,0,0,1.60,0.22,0,0.00
9/14/22,Snacks,1,2,2,1.00,1.00,100,1.00
9/15/22,Drinks,2,3,1.5,38.00,19.00,100,38.00
9/15/22,General Food,10,58,5.8,664.93,66.49,100,664.93
9/15/22,Meat/Fish,3,4,1.3,70.00,23.33,100,70.00
9/15/22,Service Fees,10,0,0,4.66,0.46,0,0.00
9/15/22,Snacks,1,1,1,2.50,2.50,100,2.50
9/16/22,Drinks,4,8,2,128.00,32.00,100,128.00
9/16/22,General Food,4,29,7.3,252.98,63.24,100,252.98
9/16/22,Meat/Fish,2,3,1.5,50.00,25.00,100,50.00
9/16/22,Pinless Recharge,1,1,1,7.00,7.00,0,0.00
9/16/22,Service Fees,6,0,0,0.00,0.00,0,0.00
9/16/22,Snacks,2,3,1.5,4.50,2.25,100,4.50
9/17/22,Cleaning&body,1,1,1,13.00,13.00,100,13.00
9/17/22,Clothes,1,1,1,15.00,15.00,100,15.00
9/17/22,Drinks,3,3,1,38.00,12.66,100,38.00
9/17/22,General Food,16,64,4,524.06,32.75,100,524.06
9/17/22,Meat/Fish,7,9,1.3,120.00,17.14,100,120.00
9/17/22,Pinless Recharge,1,1,1,20.00,20.00,0,0.00
9/17/22,Service Fees,22,0,0,8.68,0.39,0,0.00
9/17/22,Snacks,2,7,3.5,9.00,4.50,100,9.00
9/18/22,General Food,1,1,1,7.00,7.00,100,7.00
9/18/22,Service Fees,1,0,0,0.30,0.30,0,0.00
9/18/22,Snacks,1,1,1,0.50,0.50,100,0.50
9/19/22,Drinks,1,1,1,40.00,40.00,100,40.00
9/19/22,Service Fees,1,0,0,0.00,0.00,0,0.00
9/20/22,Cleaning&body,1,1,1,13.00,13.00,100,13.00
9/20/22,Drinks,2,3,1.5,73.00,36.50,100,73.00
9/20/22,General Food,11,35,3.2,156.36,14.21,100,156.36
9/20/22,Meat/Fish,1,1,1,20.00,20.00,100,20.00
9/20/22,Service Fees,11,0,0,4.22,0.38,0,0.00
9/20/22,Snacks,2,5,2.5,5.00,2.50,100,5.00
9/21/22,Drinks,3,5,1.7,122.00,40.66,100,122.00
9/21/22,General Food,8,42,5.3,881.11,110.13,100,881.11
9/21/22,Service Fees,8,0,0,3.00,0.37,0,0.00
9/22/22,Drinks,6,8,1.3,78.00,13.00,100,78.00
9/22/22,General Food,11,33,3,326.33,29.66,100,326.33
9/22/22,Meat/Fish,2,6,3,80.00,40.00,100,80.00
9/22/22,Service Fees,13,0,0,3.66,0.28,0,0.00
9/22/22,Snacks,4,6,1.5,3.75,0.93,100,3.75
9/23/22,Condiments,1,2,2,3.00,3.00,100,3.00
9/23/22,Drinks,2,2,1,2.75,1.37,100,2.75
9/23/22,General Food,5,16,3.2,346.89,69.37,94,306.94
9/23/22,Meat/Fish,2,2,1,45.00,22.50,50,10.00
9/23/22,Service Fees,6,0,0,1.67,0.27,0,0.00
9/24/22,Drinks,2,5,2.5,79.00,39.50,100,79.00
9/24/22,General Food,16,63,3.9,662.27,41.39,100,662.27
9/24/22,Meat/Fish,2,2,1,23.50,11.75,100,23.50
9/24/22,Service Fees,16,0,0,7.32,0.45,0,0.00
9/25/22,Frozen,1,1,1,2.00,2.00,100,2.00
9/25/22,General Food,5,19,3.8,81.75,16.35,100,81.75
9/25/22,Meat/Fish,1,1,1,20.00,20.00,100,20.00
9/25/22,Service Fees,7,0,0,0.76,0.10,0,0.00
9/25/22,Snacks,1,1,1,0.25,0.25,100,0.25
9/26/22,Drinks,1,1,1,40.00,40.00,100,40.00
9/26/22,General Food,6,43,7.2,427.72,71.28,100,427.72
9/26/22,Service Fees,7,0,0,6.64,0.94,0,0.00
9/26/22,Snacks,1,2,2,2.00,2.00,100,2.00
9/27/22,Cleaning&body,1,4,4,37.00,37.00,100,37.00
9/27/22,General Food,2,6,3,38.00,19.00,100,38.00
9/27/22,Pinless Recharge,1,1,1,10.00,10.00,0,0.00
9/27/22,Service Fees,4,0,0,1.00,0.25,0,0.00
9/28/22,General Food,5,14,2.8,76.00,15.20,100,76.00
9/28/22,Meat/Fish,1,1,1,20.00,20.00,100,20.00
9/28/22,Service Fees,6,0,0,1.00,0.16,0,0.00
9/29/22,Cleaning&body,1,6,6,48.00,48.00,100,48.00
9/29/22,Drinks,2,5,2.5,5.00,2.50,100,5.00
9/29/22,General Food,11,88,8,1337.06,121.55,100,1337.06
9/29/22,Meat/Fish,3,3,1,40.00,13.33,100,40.00
9/29/22,Pinless Recharge,1,1,1,20.00,20.00,0,0.00
9/29/22,Service Fees,12,0,0,9.70,0.80,0,0.00
9/29/22,Snacks,2,4,2,1.75,0.87,100,1.75
9/30/22,Cleaning&body,1,1,1,8.00,8.00,100,8.00
9/30/22,Drinks,3,5,1.7,118.00,39.33,100,118.00
9/30/22,General Food,9,40,4.4,707.73,78.63,100,707.73
9/30/22,Meat/Fish,4,5,1.3,80.00,20.00,100,80.00
9/30/22,Pinless Recharge,1,1,1,10.00,10.00,0,0.00
9/30/22,Service Fees,10,0,0,7.42,0.74,0,0.00
10/1/22,Cleaning&body,1,1,1,8.00,8.00,100,8.00
10/1/22,Drinks,6,11,1.8,276.00,46.00,100,276.00
10/1/22,General Food,12,49,4.1,1114.87,92.90,100,1114.87
10/1/22,Meat/Fish,6,13,2.2,180.00,30.00,100,180.00
10/1/22,Service Fees,14,0,0,0.69,0.04,0,0.00
10/2/22,Cleaning&body,1,1,1,8.00,8.00,100,8.00
10/2/22,Clothes,1,2,2,20.00,20.00,100,20.00
10/2/22,Drinks,2,6,3,14.00,7.00,100,14.00
10/2/22,General Food,6,65,10.8,541.46,90.24,100,541.46
10/2/22,Meat/Fish,3,5,1.7,70.00,23.33,100,70.00
10/2/22,Service Fees,6,0,0,6.97,1.16,0,0.00
10/2/22,Snacks,1,2,2,2.00,2.00,100,2.00
10/3/22,Condiments,1,10,10,15.00,15.00,100,15.00
10/3/22,Drinks,2,2,1,72.00,36.00,100,72.00
10/3/22,General Food,12,83,6.9,1326.61,110.55,100,1326.61
10/3/22,Meat/Fish,2,2,1,30.00,15.00,100,30.00
10/3/22,Service Fees,12,0,0,2.44,0.20,0,0.00
10/3/22,Snacks,3,12,4,8.75,2.91,100,8.75
10/4/22,Cleaning&body,1,1,1,8.00,8.00,100,8.00
10/4/22,Drinks,4,6,1.5,84.00,21.00,100,84.00
10/4/22,General Food,19,126,6.6,2157.70,113.56,100,2157.70
10/4/22,Meat/Fish,5,6,1.2,70.00,14.00,100,70.00
10/4/22,Service Fees,19,0,0,7.60,0.40,0,0.00
10/5/22,Cleaning&body,1,1,1,8.00,8.00,100,8.00
10/5/22,Drinks,5,5,1,110.00,22.00,100,110.00
10/5/22,General Food,10,65,6.5,828.13,82.81,100,828.13
10/5/22,Meat/Fish,3,5,1.7,90.00,30.00,100,90.00
10/5/22,Service Fees,12,0,0,0.00,0.00,0,0.00
10/5/22,Snacks,2,7,3.5,3.75,1.87,100,3.75
10/6/22,Cleaning&body,1,2,2,20.00,20.00,100,20.00
10/6/22,Drinks,3,6,2,84.00,28.00,100,84.00
10/6/22,General Food,12,96,8,1498.98,124.91,100,1498.98
10/6/22,Meat/Fish,2,2,1,30.00,15.00,100,30.00
10/6/22,Service Fees,14,0,0,0.94,0.06,0,0.00
10/6/22,Snacks,1,8,8,4.50,4.50,100,4.50
10/7/22,Drinks,1,1,1,40.00,40.00,100,40.00
10/7/22,General Food,13,83,6.4,1103.00,84.84,100,1103.00
10/7/22,Meat/Fish,3,4,1.3,33.50,11.16,100,33.50
10/7/22,Pinless Recharge,2,2,1,15.00,7.50,0,0.00
10/7/22,Service Fees,15,0,0,9.77,0.65,0,0.00
10/7/22,Snacks,1,3,3,1.50,1.50,100,1.50
10/8/22,Cleaning&body,2,4,2,51.00,25.50,100,51.00
10/8/22,Drinks,1,4,4,6.50,6.50,100,6.50
10/8/22,General Food,5,41,8.2,225.81,45.16,100,225.81
10/8/22,Service Fees,6,0,0,3.82,0.63,0,0.00
10/9/22,Cleaning&body,1,2,2,10.00,10.00,100,10.00
10/9/22,Drinks,1,1,1,1.00,1.00,100,1.00
10/9/22,General Food,8,49,6.1,554.57,69.32,100,554.57
10/9/22,Meat/Fish,1,1,1,10.00,10.00,100,10.00
10/9/22,Service Fees,8,0,0,0.00,0.00,0,0.00
10/9/22,Snacks,1,1,1,1.00,1.00,100,1.00
10/10/22,Drinks,2,11,5.5,25.50,12.75,100,25.50
10/10/22,General Food,9,64,7.1,502.32,55.81,100,502.32
10/10/22,Service Fees,10,0,0,0.24,0.02,0,0.00
10/10/22,Snacks,3,7,2.3,5.25,1.75,100,5.25
10/11/22,Clothes,1,1,1,10.00,10.00,100,10.00
10/11/22,Drinks,3,5,1.7,114.00,38.00,100,114.00
10/11/22,General Food,11,75,6.8,1407.20,127.92,100,1407.20
10/11/22,Meat/Fish,4,4,1,50.00,12.50,100,50.00
10/11/22,Pinless Recharge,1,1,1,5.00,5.00,0,0.00
10/11/22,Service Fees,12,0,0,2.57,0.21,0,0.00
10/11/22,Snacks,3,9,3,7.50,2.50,100,7.50
10/12/22,General Food,2,6,3,102.99,51.49,100,102.99
10/12/22,Meat/Fish,1,1,1,10.00,10.00,100,10.00
10/12/22,Service Fees,2,0,0,1.72,0.86,0,0.00
10/13/22,General Food,5,30,6,265.33,53.06,100,265.33
10/13/22,Service Fees,5,0,0,5.96,1.19,0,0.00
10/14/22,Drinks,5,5,1,118.00,23.60,100,118.00
10/14/22,General Food,15,81,5.4,542.96,36.19,100,542.96
10/14/22,Meat/Fish,2,2,1,30.00,15.00,100,30.00
10/14/22,Pinless Recharge,1,1,1,20.00,20.00,0,0.00
10/14/22,Service Fees,17,0,0,8.15,0.47,0,0.00
10/14/22,Snacks,2,3,1.5,10.50,5.25,100,10.50
10/15/22,Drinks,4,7,1.8,116.00,29.00,100,116.00
10/15/22,General Food,6,43,7.2,701.06,116.84,100,701.06
10/15/22,Service Fees,7,0,0,1.24,0.17,0,0.00
10/16/22,General Food,6,25,4.2,240.46,40.07,100,240.46
10/16/22,Service Fees,6,0,0,3.62,0.60,0,0.00
10/17/22,General Food,2,12,6,128.49,64.24,100,128.49
10/17/22,Service Fees,2,0,0,5.14,2.57,0,0.00
10/18/22,General Food,7,43,6.1,469.99,67.14,100,469.99
10/18/22,Pinless Recharge,1,1,1,10.00,10.00,0,0.00
10/18/22,Service Fees,8,0,0,2.01,0.25,0,0.00
10/19/22,Cleaning&body,1,2,2,8.00,8.00,100,8.00
10/19/22,General Food,6,29,4.8,281.13,46.85,100,281.13
10/19/22,Meat/Fish,3,4,1.3,43.50,14.50,100,43.50
10/19/22,Service Fees,6,0,0,6.14,1.02,0,0.00
10/19/22,Snacks,1,2,2,0.50,0.50,100,0.50
10/20/22,Drinks,4,9,2.3,122.00,30.50,100,122.00
10/20/22,General Food,11,45,4.1,446.62,40.60,100,446.62
10/20/22,Meat/Fish,1,1,1,20.00,20.00,100,20.00
10/20/22,Pinless Recharge,2,2,1,20.00,10.00,0,0.00
10/20/22,Service Fees,13,0,0,6.60,0.50,0,0.00
10/20/22,Snacks,2,4,2,1.75,0.87,100,1.75
10/21/22,Drinks,2,3,1.5,38.00,19.00,100,38.00
10/21/22,General Food,5,30,6,251.59,50.31,100,251.59
10/21/22,Meat/Fish,1,1,1,10.00,10.00,100,10.00
10/21/22,Service Fees,5,0,0,0.00,0.00,0,0.00
10/21/22,Snacks,1,1,1,0.25,0.25,100,0.25
10/22/22,Drinks,2,2,1,37.00,18.50,100,37.00
10/22/22,General Food,13,100,7.7,607.36,46.72,100,607.36
10/22/22,Meat/Fish,2,2,1,20.00,10.00,100,20.00
10/22/22,Service Fees,13,0,0,0.76,0.05,0,0.00
10/22/22,Snacks,2,5,2.5,2.50,1.25,100,2.50
10/23/22,Drinks,2,14,7,14.00,7.00,100,14.00
10/23/22,General Food,5,34,6.8,918.90,183.78,100,918.90
10/23/22,Meat/Fish,2,7,3.5,130.00,65.00,100,130.00
10/23/22,Service Fees,6,0,0,1.26,0.21,0,0.00
10/23/22,Snacks,3,6,2,5.75,1.91,100,5.75
10/24/22,Clothes,1,1,1,10.00,10.00,100,10.00
10/24/22,Drinks,1,1,1,36.00,36.00,100,36.00
10/24/22,General Food,6,27,4.5,354.81,59.13,100,354.81
10/24/22,Meat/Fish,1,1,1,10.00,10.00,100,10.00
10/24/22,Service Fees,6,0,0,0.00,0.00,0,0.00
10/24/22,Snacks,1,1,1,1.00,1.00,100,1.00
10/25/22,Drinks,1,1,1,36.00,36.00,100,36.00
10/25/22,General Food,3,11,3.7,81.44,27.14,100,81.44
10/25/22,Meat/Fish,1,1,1,10.00,10.00,100,10.00
10/25/22,Pasta/Rice,1,1,1,10.00,10.00,100,10.00
10/25/22,Pinless Recharge,1,1,1,5.00,5.00,0,0.00
10/25/22,Service Fees,4,0,0,2.68,0.67,0,0.00
10/26/22,Drinks,1,3,3,38.00,38.00,100,38.00
10/26/22,General Food,5,20,4,317.62,63.52,100,317.62
10/26/22,Meat/Fish,2,3,1.5,40.00,20.00,100,40.00
10/26/22,Pasta/Rice,1,1,1,10.00,10.00,100,10.00
10/26/22,Service Fees,5,0,0,0.00,0.00,0,0.00
10/27/22,Cleaning&body,1,1,1,15.00,15.00,100,15.00
10/27/22,Clothes,1,1,1,230.00,230.00,100,230.00
10/27/22,Drinks,1,2,2,37.00,37.00,100,37.00
10/27/22,General Food,6,25,4.2,253.66,42.27,100,253.66
10/27/22,Meat/Fish,2,2,1,20.00,10.00,100,20.00
10/27/22,Service Fees,8,0,0,9.80,1.22,0,0.00
10/27/22,Snacks,1,4,4,1.00,1.00,100,1.00
10/28/22,Cleaning&body,1,2,2,32.00,32.00,100,32.00
10/28/22,General Food,9,17,1.9,241.35,26.81,100,241.35
10/28/22,Service Fees,9,0,0,5.01,0.55,0,0.00
10/28/22,Snacks,1,2,2,1.00,1.00,100,1.00
10/29/22,Drinks,1,2,2,76.00,76.00,100,76.00
10/29/22,General Food,9,43,4.8,599.39,66.59,100,599.39
10/29/22,Meat/Fish,5,5,1,50.00,10.00,100,50.00
10/29/22,Pinless Recharge,1,1,1,20.00,20.00,0,0.00
10/29/22,Service Fees,10,0,0,1.04,0.10,0,0.00
10/29/22,Snacks,2,8,4,3.75,1.87,100,3.75
10/30/22,General Food,4,10,2.5,80.96,20.24,100,80.96
10/30/22,Meat/Fish,1,1,1,10.00,10.00,100,10.00
10/30/22,Service Fees,4,0,0,2.64,0.66,0,0.00
10/31/22,Drinks,1,5,5,5.00,5.00,100,5.00
10/31/22,General Food,7,56,8,605.00,86.42,100,605.00
10/31/22,Meat/Fish,2,4,2,40.00,20.00,100,40.00
10/31/22,Pinless Recharge,1,1,1,5.00,5.00,0,0.00
10/31/22,Service Fees,8,0,0,13.26,1.65,0,0.00
10/31/22,Snacks,1,2,2,0.50,0.50,100,0.50
11/1/22,General Food,3,7,2.3,129.97,43.32,100,129.97
11/1/22,Service Fees,3,0,0,0.00,0.00,0,0.00
11/2/22,Drinks,5,7,1.4,233.00,46.60,100,233.00
11/2/22,General Food,8,66,8.3,1215.53,151.94,100,1215.53
11/2/22,Meat/Fish,3,5,1.7,50.00,16.66,100,50.00
11/2/22,Service Fees,9,0,0,0.80,0.08,0,0.00
11/2/22,Snacks,1,2,2,1.00,1.00,100,1.00
11/3/22,Drinks,4,5,1.3,157.00,39.25,100,157.00
11/3/22,General Food,10,97,9.7,1634.77,163.47,100,1634.77
11/3/22,Meat/Fish,3,3,1,50.00,16.66,100,50.00
11/3/22,Service Fees,11,0,0,9.04,0.82,0,0.00
11/3/22,Snacks,1,4,4,1.00,1.00,100,1.00
11/4/22,Drinks,8,14,1.8,162.00,20.25,100,162.00
11/4/22,General Food,20,191,9.6,2788.77,139.43,100,2788.77
11/4/22,Meat/Fish,2,2,1,30.00,15.00,100,30.00
11/4/22,Pinless Recharge,1,1,1,5.00,5.00,0,0.00
11/4/22,Service Fees,21,0,0,15.17,0.72,0,0.00
11/4/22,Snacks,3,13,4.3,8.75,2.91,100,8.75
11/5/22,Cleaning&body,2,2,1,18.00,9.00,100,18.00
11/5/22,General Food,16,91,5.7,1215.23,75.95,100,1215.23
11/5/22,Meat/Fish,1,2,2,40.00,40.00,100,40.00
11/5/22,Pinless Recharge,1,1,1,5.00,5.00,0,0.00
11/5/22,Service Fees,19,0,0,3.40,0.17,0,0.00
11/5/22,Snacks,1,2,2,1.50,1.50,100,1.50
11/6/22,Cleaning&body,2,3,1.5,41.00,20.50,100,41.00
11/6/22,General Food,11,53,4.8,1096.35,99.66,100,1096.35
11/6/22,Meat/Fish,3,4,1.3,60.00,20.00,100,60.00
11/6/22,Service Fees,12,0,0,22.06,1.83,0,0.00
11/6/22,Snacks,1,1,1,0.25,0.25,100,0.25
11/7/22,Drinks,9,17,1.9,126.00,14.00,100,126.00
11/7/22,General Food,19,130,6.8,2818.26,148.32,100,2818.26
11/7/22,Meat/Fish,5,5,1,70.00,14.00,100,70.00
11/7/22,Service Fees,20,0,0,7.25,0.36,0,0.00
11/7/22,Snacks,1,1,1,0.50,0.50,100,0.50
11/8/22,Cleaning&body,2,2,1,36.00,18.00,100,36.00
11/8/22,Drinks,6,6,1,193.00,32.16,100,193.00
11/8/22,General Food,17,99,5.8,1625.98,95.64,100,1625.98
11/8/22,Meat/Fish,1,1,1,20.00,20.00,100,20.00
11/8/22,Pinless Recharge,2,2,1,25.00,12.50,0,0.00
11/8/22,Service Fees,20,0,0,4.32,0.21,0,0.00
11/8/22,Snacks,1,6,6,3.00,3.00,100,3.00
11/9/22,Drinks,3,4,1.3,152.00,50.66,100,152.00
11/9/22,General Food,16,118,7.4,2305.60,144.10,100,2305.60
11/9/22,Meat/Fish,3,3,1,50.00,16.66,100,50.00
11/9/22,Service Fees,16,0,0,0.48,0.03,0,0.00
11/9/22,Snacks,3,11,3.7,8.50,2.83,100,8.50
11/10/22,Drinks,4,9,2.3,227.00,56.75,100,227.00
11/10/22,General Food,8,58,7.3,1001.80,125.22,100,1001.80
11/10/22,Service Fees,8,0,0,0.00,0.00,0,0.00
11/10/22,Snacks,2,5,2.5,2.00,1.00,100,2.00
