Date,Department,Baskets,Items,Avg_Items,Sales,Avg_Sale,Scan_Rate,Scan_Sales
9/3/24,General Food,2,7,3.5,40.54,20.27,100,40.54
9/9/24,Pinless Recharge,1,1,1,30,30,0,0
9/17/24,General Food,1,1,1,3.99,3.99,100,3.99
10/9/24,General Food,1,6,6,50.09,50.09,100,50.09
10/9/24,Meat/Fish,1,4,4,24,24,0,0
10/10/24,General Food,1,2,2,12,12,100,12
10/12/24,Frozen,2,6,3,60,30,50,12
10/14/24,General Food,1,1,1,6,6,100,6
10/15/24,Condiments,1,1,1,10,10,100,10
10/15/24,Hygiene Feminine,1,4,4,60,60,100,60
10/19/24,General Food,1,3,3,19.98,19.98,100,19.98
10/23/24,General Food,1,2,2,40.99,40.99,100,40.99
10/26/24,Cleaning,1,2,2,40,40,100,40
10/26/24,Frozen,3,4,1.3,80,26.66,100,80
10/26/24,General Food,9,41,4.6,274.46,30.49,66,179.49
10/26/24,Hygiene Feminine,1,2,2,10,10,100,10
10/26/24,Vitamins/Medicine,1,3,3,3,3,0,0
10/30/24,Frozen,1,5,5,20,20,100,20
10/30/24,General Food,4,9,2.3,84.97,21.24,100,84.97
11/2/24,Frozen,2,3,1.5,81,40.5,0,0
11/2/24,General Food,6,14,2.3,81.75,13.62,100,81.75
11/2/24,Household,1,1,1,5.99,5.99,100,5.99
11/2/24,Pinless Recharge,1,1,1,10,10,0,0
11/4/24,General Food,1,1,1,5.99,5.99,100,5.99
11/4/24,Misc.,1,4,4,20,20,0,0
11/4/24,Tobacco,1,4,4,7.96,7.96,0,0
11/8/24,General Food,1,1,1,7.66,7.66,100,7.66
11/9/24,General Food,4,11,2.8,59.12,14.78,100,59.12
11/9/24,Meat/Fish,1,2,2,30,30,0,0
11/11/24,Cleaning,1,1,1,20,20,100,20
11/11/24,General Food,6,16,2.7,255.53,42.58,69,226.53
11/11/24,Meat/Fish,1,1,1,60,60,0,0
11/11/24,Snacks,1,1,1,2,2,0,0
11/16/24,General Food,1,2,2,9.98,9.98,100,9.98
11/16/24,Household,1,3,3,17.97,17.97,100,17.97
11/25/24,General Food,2,10,5,75.99,37.99,10,3.99
11/25/24,Meat/Fish,1,1,1,10,10,0,0
11/25/24,Pasta/Rice,1,3,3,18,18,0,0
11/28/24,General Food,5,17,3.4,127.59,25.51,88,111.59
11/28/24,Meat/Fish,1,4,4,75,75,25,35
11/28/24,Snacks,1,1,1,2,2,0,0
11/28/24,Vitamins/Medicine,1,2,2,10,10,0,0
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
