Date,Department,Baskets,Items,Avg_Items,Sales,Avg_Sale,Scan_Rate,Scan_Sales
3/2/24,Drinks,4,4,1,159.96,39.99,100,159.96
3/2/24,General Food,23,170,7.4,2626.68,114.20,100,2626.68
3/2/24,Household,1,1,1,7.99,7.99,100,7.99
3/2/24,Meat/Fish,2,2,1,30.00,15.00,100,30.00
3/2/24,Snacks,1,2,2,0.50,0.50,100,0.50
3/2/24,Tobacco,1,1,1,0.55,0.55,0,0.00
3/3/24,Drinks,1,1,1,40.00,40.00,100,40.00
3/3/24,General Food,1,3,3,59.99,59.99,100,59.99
3/4/24,Drinks,2,11,5.5,60.00,30.00,100,60.00
3/4/24,Frozen,1,1,1,5.00,5.00,100,5.00
3/4/24,General Food,18,180,10,1885.55,104.75,100,1885.55
3/4/24,Household,3,13,4.3,91.99,30.66,100,91.99
3/4/24,Meat/Fish,2,3,1.5,60.00,30.00,100,60.00
3/5/24,Drinks,4,8,2,129.99,32.49,100,129.99
3/5/24,Frozen,2,2,1,10.00,5.00,100,10.00
3/5/24,General Food,17,90,5.3,789.13,46.41,100,789.13
3/5/24,Household,3,4,1.3,23.98,7.99,100,23.98
3/5/24,Meat/Fish,4,8,2,120.00,30.00,100,120.00
3/5/24,Pinless Recharge,2,2,1,25.00,12.50,0,0.00
3/5/24,Snacks,1,2,2,1.00,1.00,100,1.00
3/6/24,Cleaning&body,1,1,1,12.00,12.00,100,12.00
3/6/24,Drinks,1,20,20,40.00,40.00,100,40.00
3/6/24,General Food,9,63,7,503.08,55.89,98,448.08
3/6/24,Household,1,2,2,14.00,14.00,100,14.00
3/6/24,Meat/Fish,2,3,1.5,60.00,30.00,100,60.00
3/6/24,Pinless Recharge,1,1,1,5.00,5.00,0,0.00
3/6/24,Vitamins/Medicine,1,2,2,10.00,10.00,100,10.00
3/7/24,Cleaning&body,1,1,1,5.00,5.00,100,5.00
3/7/24,Clothes,1,4,4,40.00,40.00,100,40.00
3/7/24,Frozen,2,3,1.5,60.00,30.00,33,40.00
3/7/24,General Food,13,117,9,628.37,48.33,98,614.37
3/7/24,Household,1,3,3,23.97,23.97,100,23.97
3/7/24,Meat/Fish,2,8,4,80.00,40.00,100,80.00
3/7/24,Pinless Recharge,3,3,1,25.00,8.33,0,0.00
3/7/24,Snacks,1,24,24,12.00,12.00,100,12.00
3/8/24,Drinks,1,7,7,14.00,14.00,100,14.00
3/8/24,Frozen,1,2,2,32.00,32.00,0,0.00
3/8/24,General Food,16,80,5,648.45,40.52,94,621.45
3/8/24,Household,1,2,2,14.00,14.00,100,14.00
3/8/24,Meat/Fish,3,5,1.7,100.00,33.33,80,70.00
3/9/24,Cleaning&body,3,5,1.7,30.00,10.00,40,15.00
3/9/24,Dairy,1,2,2,6.00,6.00,0,0.00
3/9/24,General Food,17,73,4.3,1036.31,60.95,100,1036.31
3/9/24,Meat/Fish,5,7,1.4,110.00,22.00,100,110.00
3/9/24,Snacks,1,4,4,2.00,2.00,100,2.00
3/10/24,General Food,4,18,4.5,168.97,42.24,78,148.97
3/10/24,Meat/Fish,3,5,1.7,120.00,40.00,100,120.00
3/11/24,Cleaning&body,1,10,10,48.81,48.81,100,48.81
3/11/24,Drinks,1,1,1,40.00,40.00,100,40.00
3/11/24,Frozen,1,1,1,40.00,40.00,100,40.00
3/11/24,General Food,21,102,4.9,1001.62,47.69,99,989.62
3/11/24,Household,1,1,1,7.99,7.99,100,7.99
3/11/24,Meat/Fish,3,6,2,150.00,50.00,100,150.00
3/11/24,Pinless Recharge,1,1,1,7.00,7.00,0,0.00
3/12/24,Frozen,1,5,5,200.00,200.00,100,200.00
3/12/24,General Food,10,37,3.7,535.33,53.53,100,535.33
3/12/24,Meat/Fish,1,3,3,90.00,90.00,100,90.00
3/14/24,General Food,12,48,4,533.49,44.45,100,533.49
3/15/24,Frozen,2,6,3,240.00,120.00,100,240.00
3/15/24,General Food,12,72,6,610.41,50.86,100,610.41
3/15/24,Meat/Fish,2,5,2.5,130.00,65.00,100,130.00
3/15/24,Pinless Recharge,1,1,1,6.00,6.00,0,0.00
3/16/24,General Food,12,33,2.8,307.90,25.65,100,307.90
3/17/24,General Food,2,5,2.5,64.99,32.49,100,64.99
3/17/24,Meat/Fish,1,1,1,30.00,30.00,100,30.00
3/18/24,General Food,2,15,7.5,229.00,114.50,100,229.00
3/18/24,Misc.,1,1,1,2.00,2.00,100,2.00
3/18/24,Pinless Recharge,4,4,1,34.00,8.50,0,0.00
3/19/24,General Food,18,64,3.6,420.81,23.37,100,420.81
3/20/24,Cleaning&body,1,12,12,36.60,36.60,100,36.60
3/20/24,General Food,9,22,2.4,312.05,34.67,100,312.05
3/20/24,Meat/Fish,2,4,2,40.00,20.00,100,40.00
3/20/24,Pinless Recharge,1,1,1,10.00,10.00,0,0.00
3/21/24,Cleaning&body,2,4,2,40.00,20.00,100,40.00
3/21/24,General Food,6,42,7,462.29,77.04,100,462.29
3/22/24,General Food,8,23,2.9,223.94,27.99,100,223.94
3/22/24,Meat/Fish,1,1,1,20.00,20.00,100,20.00
3/23/24,Cleaning&body,1,4,4,38.00,38.00,100,38.00
3/23/24,Drinks,1,2,2,41.99,41.99,100,41.99
3/23/24,Frozen,3,8,2.7,320.00,106.66,100,320.00
3/23/24,General Food,17,68,4,974.07,57.29,100,974.07
3/23/24,Meat/Fish,8,15,1.9,280.00,35.00,100,280.00
3/24/24,General Food,3,28,9.3,311.92,103.97,100,311.92
3/24/24,Meat/Fish,4,6,1.5,100.00,25.00,100,100.00
3/25/24,Drinks,1,1,1,40.00,40.00,100,40.00
3/25/24,General Food,7,33,4.7,523.37,74.76,100,523.37
3/25/24,Meat/Fish,2,4,2,50.00,25.00,100,50.00
3/26/24,General Food,6,31,5.2,258.04,43.00,100,258.04
3/26/24,Meat/Fish,2,2,1,40.00,20.00,100,40.00
3/27/24,Drinks,1,1,1,2.00,2.00,100,2.00
3/27/24,General Food,7,54,7.7,531.08,75.86,100,531.08
3/27/24,Household,1,1,1,7.99,7.99,100,7.99
3/27/24,Meat/Fish,1,1,1,20.00,20.00,100,20.00
3/28/24,Cleaning&body,1,1,1,5.00,5.00,100,5.00
3/28/24,Drinks,1,1,1,39.99,39.99,100,39.99
3/28/24,General Food,14,74,5.3,876.18,62.58,100,876.18
3/28/24,Household,1,1,1,7.99,7.99,100,7.99
3/28/24,Meat/Fish,3,7,2.3,135.00,45.00,100,135.00
3/29/24,Cleaning&body,1,1,1,12.00,12.00,100,12.00
3/29/24,Drinks,2,4,2,160.00,80.00,100,160.00
3/29/24,General Food,5,22,4.4,371.36,74.27,100,371.36
3/29/24,Meat/Fish,1,1,1,20.00,20.00,100,20.00
3/29/24,Snacks,1,1,1,30.00,30.00,100,30.00
3/30/24,General Food,9,67,7.4,1334.82,148.31,100,1334.82
4/1/24,Cleaning&body,2,5,2.5,25.20,12.60,100,25.20
4/1/24,Drinks,3,4,1.3,121.97,40.65,100,121.97
4/1/24,Frozen,2,3,1.5,120.00,60.00,67,80.00
4/1/24,General Food,16,74,4.6,1720.81,107.55,99,1715.81
4/1/24,Meat/Fish,3,5,1.7,140.00,46.66,100,140.00
4/1/24,Snacks,1,4,4,1.00,1.00,100,1.00
4/2/24,Clothes,2,2,1,80.00,40.00,100,80.00
4/2/24,Drinks,9,10,1.1,209.99,23.33,100,209.99
4/2/24,General Food,16,65,4.1,1373.79,85.86,100,1373.79
4/2/24,Meat/Fish,3,4,1.3,60.00,20.00,100,60.00
4/2/24,Snacks,2,6,3,3.75,1.87,100,3.75
4/3/24,Cleaning&body,1,2,2,10.00,10.00,100,10.00
4/3/24,Drinks,1,2,2,79.99,79.99,100,79.99
4/3/24,General Food,10,22,2.2,488.80,48.88,100,488.80
4/3/24,Meat/Fish,1,1,1,20.00,20.00,100,20.00
4/4/24,Drinks,2,2,1,79.98,39.99,100,79.98
4/4/24,General Food,19,99,5.2,2330.46,122.65,100,2330.46
4/4/24,Meat/Fish,2,6,3,168.00,84.00,100,168.00
4/4/24,Snacks,1,2,2,0.50,0.50,100,0.50
4/5/24,Cleaning&body,1,1,1,2.00,2.00,100,2.00
4/5/24,Drinks,4,5,1.3,199.98,49.99,100,199.98
4/5/24,Frozen,2,11,5.5,100.00,50.00,91,70.00
4/5/24,General Food,13,129,9.9,1942.47,149.42,100,1942.47
4/5/24,Household,1,1,1,7.99,7.99,100,7.99
4/5/24,Meat/Fish,3,5,1.7,70.00,23.33,100,70.00
4/5/24,Snacks,2,5,2.5,1.25,0.62,100,1.25
4/6/24,Cleaning&body,1,1,1,5.00,5.00,100,5.00
4/6/24,Drinks,1,2,2,80.00,80.00,100,80.00
4/6/24,Frozen,1,2,2,80.00,80.00,100,80.00
4/6/24,General Food,17,71,4.2,1227.89,72.22,92,1102.89
4/6/24,Household,1,2,2,14.00,14.00,100,14.00
4/6/24,Meat/Fish,1,5,5,150.00,150.00,100,150.00
4/6/24,Snacks,1,1,1,0.25,0.25,100,0.25
4/7/24,General Food,2,12,6,87.91,43.95,100,87.91
4/8/24,Cleaning&body,1,1,1,10.00,10.00,100,10.00
4/8/24,Drinks,4,5,1.3,199.97,49.99,100,199.97
4/8/24,Frozen,1,1,1,100.00,100.00,0,0.00
4/8/24,General Food,20,92,4.6,2248.35,112.41,99,2238.35
4/8/24,Household,3,3,1,23.97,7.99,100,23.97
4/8/24,Meat/Fish,3,3,1,70.00,23.33,100,70.00
4/8/24,Snacks,1,1,1,3.99,3.99,100,3.99
4/9/24,Drinks,3,4,1.3,159.97,53.32,100,159.97
4/9/24,General Food,13,62,4.8,1425.69,109.66,100,1425.69
4/9/24,Meat/Fish,4,4,1,80.00,20.00,100,80.00
4/9/24,Snacks,1,5,5,1.25,1.25,100,1.25
4/10/24,Drinks,5,5,1,161.97,32.39,100,161.97
4/10/24,Frozen,1,1,1,22.00,22.00,0,0.00
4/10/24,General Food,10,58,5.8,798.39,79.83,100,798.39
4/10/24,Meat/Fish,1,6,6,110.00,110.00,100,110.00
4/10/24,Snacks,2,5,2.5,1.25,0.62,100,1.25
4/11/24,Drinks,2,3,1.5,44.00,22.00,100,44.00
4/11/24,General Food,13,56,4.3,1009.93,77.68,100,1009.93
4/11/24,Meat/Fish,6,7,1.2,150.00,25.00,100,150.00
4/11/24,Snacks,1,4,4,1.00,1.00,100,1.00
4/12/24,Cleaning&body,2,2,1,20.00,10.00,100,20.00
4/12/24,Drinks,2,3,1.5,43.99,21.99,100,43.99
4/12/24,General Food,18,105,5.8,999.69,55.53,100,999.69
4/12/24,Meat/Fish,1,1,1,20.00,20.00,100,20.00
4/13/24,General Food,10,73,7.3,802.14,80.21,100,802.14
4/13/24,Meat/Fish,8,25,3.1,360.00,45.00,100,360.00
4/14/24,Drinks,1,1,1,39.99,39.99,100,39.99
4/14/24,General Food,2,4,2,140.00,70.00,100,140.00
4/15/24,Drinks,1,1,1,39.99,39.99,100,39.99
4/15/24,General Food,9,25,2.8,930.82,103.42,100,930.82
4/15/24,Meat/Fish,1,1,1,20.00,20.00,100,20.00
4/15/24,Snacks,1,2,2,0.50,0.50,100,0.50
4/16/24,Drinks,2,2,1,79.99,39.99,100,79.99
4/16/24,General Food,11,56,5.1,977.74,88.88,100,977.74
4/16/24,Meat/Fish,2,2,1,45.00,22.50,100,45.00
4/16/24,Snacks,1,3,3,0.75,0.75,100,0.75
4/17/24,Cleaning&body,1,1,1,5.00,5.00,100,5.00
4/17/24,General Food,12,71,5.9,2300.03,191.66,100,2300.03
4/17/24,Meat/Fish,2,2,1,40.00,20.00,100,40.00
4/17/24,Snacks,1,3,3,0.75,0.75,100,0.75
4/18/24,Drinks,1,1,1,40.00,40.00,100,40.00
4/18/24,General Food,10,42,4.2,923.80,92.38,100,923.80
4/18/24,Meat/Fish,3,3,1,75.00,25.00,100,75.00
4/18/24,Snacks,1,2,2,1.00,1.00,100,1.00
4/19/24,Cleaning&body,1,1,1,4.00,4.00,100,4.00
4/19/24,General Food,11,36,3.3,502.10,45.64,100,502.10
4/19/24,Meat/Fish,1,1,1,20.00,20.00,100,20.00
4/20/24,Cleaning&body,2,2,1,33.00,16.50,100,33.00
4/20/24,Drinks,1,1,1,2.00,2.00,100,2.00
4/20/24,General Food,17,104,6.1,1264.76,74.39,100,1264.76
4/20/24,Household,1,1,1,7.99,7.99,100,7.99
4/20/24,Meat/Fish,1,1,1,25.00,25.00,100,25.00
4/20/24,Snacks,1,1,1,0.25,0.25,100,0.25
4/22/24,Cleaning&body,1,1,1,5.00,5.00,100,5.00
4/22/24,Drinks,1,2,2,4.00,4.00,100,4.00
4/22/24,General Food,5,22,4.4,315.88,63.17,96,309.88
4/23/24,Drinks,4,4,1,159.99,39.99,100,159.99
4/23/24,General Food,16,65,4.1,923.77,57.73,100,923.77
4/23/24,Household,3,3,1,23.97,7.99,100,23.97
4/23/24,Meat/Fish,2,3,1.5,75.00,37.50,100,75.00
4/23/24,Snacks,3,9,3,2.25,0.75,100,2.25
4/24/24,Drinks,2,5,2.5,47.99,23.99,100,47.99
4/24/24,General Food,5,26,5.2,1005.66,201.13,100,1005.66
4/24/24,Snacks,2,5,2.5,4.99,2.49,100,4.99
4/25/24,General Food,5,11,2.2,170.00,34.00,100,170.00
4/25/24,Meat/Fish,1,1,1,20.00,20.00,100,20.00
4/26/24,Drinks,2,2,1,42.00,21.00,100,42.00
4/26/24,General Food,7,35,5,375.55,53.65,100,375.55
4/26/24,Meat/Fish,1,1,1,25.00,25.00,100,25.00
4/27/24,General Food,11,60,5.5,957.96,87.08,100,957.96
4/27/24,Household,1,1,1,7.99,7.99,100,7.99
4/27/24,Meat/Fish,1,2,2,60.00,60.00,100,60.00
4/27/24,Snacks,1,1,1,5.00,5.00,0,0.00
4/29/24,Cleaning&body,1,2,2,10.00,10.00,100,10.00
4/29/24,Drinks,2,5,2.5,123.99,61.99,100,123.99
4/29/24,General Food,4,20,5,558.89,139.72,100,558.89
