Date,Department,Baskets,Items,Avg_Items,Sales,Avg_Sale,Scan_Rate,Scan_Sales
5/2/21,Drinks,3,10,3.3,48.25,16.08,100,48.25
5/2/21,General Food,11,87,7.9,980.08,89.09,100,980.08
5/2/21,Meat/Fish,1,1,1,10.00,10.00,100,10.00
5/2/21,Snacks,2,6,3,3.00,1.50,100,3.00
5/3/21,Drinks,2,4,2,37.50,18.75,100,37.50
5/3/21,General Food,4,38,9.5,279.75,69.93,100,279.75
5/3/21,Snacks,2,17,8.5,8.50,4.25,100,8.50
5/4/21,Cleaning&body,1,2,2,10.00,10.00,100,10.00
5/4/21,Drinks,5,12,2.4,44.50,8.90,100,44.50
5/4/21,General Food,5,46,9.2,514.06,102.81,100,514.06
5/4/21,Meat/Fish,1,1,1,20.00,20.00,100,20.00
5/4/21,Snacks,1,4,4,2.00,2.00,100,2.00
5/5/21,Drinks,2,5,2.5,6.00,3.00,100,6.00
5/5/21,General Food,9,63,7,546.22,60.69,100,546.22
5/5/21,Meat/Fish,4,5,1.3,70.00,17.50,100,70.00
5/5/21,Snacks,3,9,3,8.50,2.83,100,8.50
5/6/21,Cleaning&body,1,1,1,10.00,10.00,100,10.00
5/6/21,Drinks,2,6,3,40.00,20.00,100,40.00
5/6/21,General Food,7,48,6.9,606.24,86.60,100,606.24
5/6/21,Meat/Fish,4,8,2,120.00,30.00,100,120.00
5/6/21,Snacks,1,2,2,0.50,0.50,100,0.50
5/7/21,Cleaning&body,1,2,2,18.00,18.00,100,18.00
5/7/21,General Food,11,49,4.5,610.15,55.46,100,610.15
5/7/21,Meat/Fish,4,7,1.8,76.00,19.00,100,76.00
5/7/21,Snacks,2,9,4.5,4.25,2.12,100,4.25
5/8/21,Drinks,1,4,4,4.00,4.00,100,4.00
5/8/21,General Food,9,74,8.2,798.67,88.74,100,798.67
5/8/21,Meat/Fish,2,4,2,70.00,35.00,100,70.00
5/8/21,Snacks,1,1,1,0.50,0.50,100,0.50
5/9/21,Drinks,1,1,1,1.00,1.00,100,1.00
5/9/21,General Food,2,5,2.5,9.00,4.50,100,9.00
5/9/21,Service Fees,1,10,10,5.00,5.00,100,5.00
5/9/21,Snacks,1,2,2,1.00,1.00,100,1.00
5/10/21,Drinks,3,5,1.7,5.00,1.66,100,5.00
5/10/21,General Food,10,71,7.1,643.24,64.32,100,643.24
5/10/21,Meat/Fish,5,9,1.8,160.00,32.00,100,160.00
5/11/21,Drinks,1,1,1,1.50,1.50,100,1.50
5/11/21,General Food,3,24,8,155.23,51.74,100,155.23
5/11/21,Meat/Fish,1,1,1,20.00,20.00,100,20.00
5/12/21,Drinks,3,4,1.3,35.75,11.91,100,35.75
5/12/21,General Food,5,57,11.4,477.39,95.47,100,477.39
5/12/21,Meat/Fish,1,1,1,20.00,20.00,100,20.00
5/12/21,Snacks,1,4,4,2.00,2.00,100,2.00
5/13/21,Drinks,1,2,2,2.00,2.00,100,2.00
5/13/21,General Food,1,6,6,298.25,298.25,100,298.25
5/14/21,Cleaning&body,1,2,2,20.00,20.00,100,20.00
5/14/21,Clothes,1,1,1,22.00,22.00,100,22.00
5/14/21,Drinks,1,2,2,66.00,66.00,100,66.00
5/14/21,General Food,9,78,8.7,732.01,81.33,100,732.01
5/14/21,Meat/Fish,1,1,1,10.00,10.00,100,10.00
