Date,Department,Baskets,Items,Avg_Items,Sales,Avg_Sale,Scan_Rate,Scan_Sales
11/18/20,General Food,2,2,1,15,7.5,50,5
11/18/20,Misc.,1,1,1,15,15,100,15
11/20/20,General Food,4,6,1.5,19.5,4.87,100,19.5
11/20/20,Misc.,1,1,1,15,15,100,15
11/22/20,General Food,6,35,5.8,253,42.16,100,253
11/22/20,Meat/Fish,3,12,4,160,53.33,100,160
11/23/20,General Food,1,4,4,20,20,100,20
11/23/20,Snacks,1,8,8,8,8,100,8
11/24/20,General Food,5,34,6.8,223,44.6,100,223
11/24/20,Meat/Fish,3,9,3,110,36.66,100,110
11/24/20,Snacks,1,1,1,0.25,0.25,100,0.25
11/25/20,Drinks,1,1,1,1.5,1.5,100,1.5
11/25/20,General Food,7,40,5.7,253.49,36.21,100,253.49
11/25/20,Meat/Fish,4,5,1.3,60,15,100,60
11/25/20,Snacks,1,1,1,2,2,100,2
11/26/20,General Food,4,19,4.8,161,40.25,100,161
11/26/20,Meat/Fish,1,1,1,10,10,100,10
11/27/20,Cleaning&body,1,1,1,5,5,100,5
11/27/20,Drinks,1,1,1,1,1,100,1
11/27/20,General Food,6,63,10.5,423.5,70.58,100,423.5
11/27/20,Meat/Fish,3,5,1.7,70,23.33,100,70
11/27/20,Snacks,3,11,3.7,2.15,0.71,100,2.15
11/28/20,Drinks,1,1,1,1.5,1.5,100,1.5
11/28/20,General Food,6,16,2.7,107.75,17.95,100,107.75
11/28/20,Snacks,2,6,3,7.5,3.75,100,7.5
11/29/20,General Food,2,10,5,56,28,100,56
11/30/20,General Food,1,7,7,52,52,100,52
12/1/20,Drinks,1,1,1,1.5,1.5,100,1.5
12/1/20,General Food,3,25,8.3,185,61.66,100,185
12/2/20,General Food,2,15,7.5,144,72,100,144
12/3/20,General Food,3,22,7.3,166,55.33,100,166
12/3/20,Meat/Fish,1,1,1,10,10,100,10
12/4/20,Drinks,1,5,5,7.5,7.5,100,7.5
12/4/20,General Food,3,50,16.7,519,173,100,519
12/5/20,General Food,6,27,4.5,150,25,100,150
12/6/20,General Food,5,36,7.2,259,51.8,100,259
12/6/20,Meat/Fish,2,3,1.5,40,20,100,40
12/7/20,General Food,3,23,7.7,206,68.66,100,206
12/7/20,Meat/Fish,2,2,1,30,15,100,30
12/7/20,Snacks,1,1,1,0.5,0.5,100,0.5
12/8/20,General Food,3,40,13.3,170.25,56.75,100,170.25
12/8/20,Meat/Fish,2,3,1.5,30,15,100,30
12/8/20,Snacks,1,3,3,1,1,100,1
12/9/20,General Food,2,38,19,180,90,100,180
12/9/20,Meat/Fish,1,1,1,20,20,100,20
12/10/20,Cleaning&body,1,1,1,5,5,100,5
12/10/20,Drinks,1,1,1,9,9,100,9
12/10/20,General Food,9,80,8.9,635,70.55,100,635
12/10/20,Meat/Fish,1,1,1,10,10,100,10
12/10/20,Misc.,1,1,1,15,15,100,15
12/10/20,Snacks,1,2,2,8,8,100,8
12/11/20,Cleaning&body,1,1,1,5,5,100,5
12/11/20,Drinks,2,9,4.5,13.5,6.75,100,13.5
12/11/20,General Food,5,76,15.2,556,111.2,100,556
12/11/20,Meat/Fish,1,4,4,50,50,100,50
12/11/20,Snacks,1,10,10,5,5,100,5
12/12/20,Drinks,1,3,3,4.5,4.5,100,4.5
12/12/20,General Food,5,58,11.6,732,146.4,100,732
12/12/20,Meat/Fish,3,5,1.7,70,23.33,100,70
