Date,Department,# of Baskets,# of Items,Avg Items,Sales $,Avg Sale,Scan Rate,Scan Sales
11/18/20,General Food,2,2,1,$15.00 ,$7.50 ,50,$5.00 
11/18/20,Misc.,1,1,1,$15.00 ,$15.00 ,100,$15.00 
11/20/20,General Food,4,6,1.5,$19.50 ,$4.87 ,100,$19.50 
11/20/20,Misc.,1,1,1,$15.00 ,$15.00 ,100,$15.00 
11/22/20,General Food,6,35,5.8,$253.00 ,$42.16 ,100,$253.00 
11/22/20,Meat/Fish,3,12,4,$160.00 ,$53.33 ,100,$160.00 
11/23/20,General Food,1,4,4,$20.00 ,$20.00 ,100,$20.00 
11/23/20,Snacks,1,8,8,$8.00 ,$8.00 ,100,$8.00 
11/24/20,General Food,5,34,6.8,$223.00 ,$44.60 ,100,$223.00 
11/24/20,Meat/Fish,3,9,3,$110.00 ,$36.66 ,100,$110.00 
11/24/20,Snacks,1,1,1,$0.25 ,$0.25 ,100,$0.25 
11/25/20,Drinks,1,1,1,$1.50 ,$1.50 ,100,$1.50 
11/25/20,General Food,7,40,5.7,$253.49 ,$36.21 ,100,$253.49 
11/25/20,Meat/Fish,4,5,1.3,$60.00 ,$15.00 ,100,$60.00 
11/25/20,Snacks,1,1,1,$2.00 ,$2.00 ,100,$2.00 
11/26/20,General Food,4,19,4.8,$161.00 ,$40.25 ,100,$161.00 
11/26/20,Meat/Fish,1,1,1,$10.00 ,$10.00 ,100,$10.00 
11/27/20,Cleaning&body,1,1,1,$5.00 ,$5.00 ,100,$5.00 
11/27/20,Drinks,1,1,1,$1.00 ,$1.00 ,100,$1.00 
11/27/20,General Food,6,63,10.5,$423.50 ,$70.58 ,100,$423.50 
11/27/20,Meat/Fish,3,5,1.7,$70.00 ,$23.33 ,100,$70.00 
11/27/20,Snacks,3,11,3.7,$2.15 ,$0.71 ,100,$2.15 
11/28/20,Drinks,1,1,1,$1.50 ,$1.50 ,100,$1.50 
11/28/20,General Food,6,16,2.7,$107.75 ,$17.95 ,100,$107.75 
11/28/20,Snacks,2,6,3,$7.50 ,$3.75 ,100,$7.50 
11/29/20,General Food,2,10,5,$56.00 ,$28.00 ,100,$56.00 
11/30/20,General Food,1,7,7,$52.00 ,$52.00 ,100,$52.00 
12/1/20,Drinks,1,1,1,$1.50 ,$1.50 ,100,$1.50 
12/1/20,General Food,3,25,8.3,$185.00 ,$61.66 ,100,$185.00 
12/2/20,General Food,2,15,7.5,$144.00 ,$72.00 ,100,$144.00 
12/3/20,General Food,3,22,7.3,$166.00 ,$55.33 ,100,$166.00 
12/3/20,Meat/Fish,1,1,1,$10.00 ,$10.00 ,100,$10.00 
12/4/20,Drinks,1,5,5,$7.50 ,$7.50 ,100,$7.50 
12/4/20,General Food,3,50,16.7,$519.00 ,$173.00 ,100,$519.00 
12/5/20,General Food,6,27,4.5,$150.00 ,$25.00 ,100,$150.00 
12/6/20,General Food,5,36,7.2,$259.00 ,$51.80 ,100,$259.00 
12/6/20,Meat/Fish,2,3,1.5,$40.00 ,$20.00 ,100,$40.00 
12/7/20,General Food,3,23,7.7,$206.00 ,$68.66 ,100,$206.00 
12/7/20,Meat/Fish,2,2,1,$30.00 ,$15.00 ,100,$30.00 
12/7/20,Snacks,1,1,1,$0.50 ,$0.50 ,100,$0.50 
12/8/20,General Food,3,40,13.3,$170.25 ,$56.75 ,100,$170.25 
12/8/20,Meat/Fish,2,3,1.5,$30.00 ,$15.00 ,100,$30.00 
12/8/20,Snacks,1,3,3,$1.00 ,$1.00 ,100,$1.00 
12/9/20,General Food,2,38,19,$180.00 ,$90.00 ,100,$180.00 
12/9/20,Meat/Fish,1,1,1,$20.00 ,$20.00 ,100,$20.00 
12/10/20,Cleaning&body,1,1,1,$5.00 ,$5.00 ,100,$5.00 
12/10/20,Drinks,1,1,1,$9.00 ,$9.00 ,100,$9.00 
12/10/20,General Food,9,80,8.9,$635.00 ,$70.55 ,100,$635.00 
12/10/20,Meat/Fish,1,1,1,$10.00 ,$10.00 ,100,$10.00 
12/10/20,Misc.,1,1,1,$15.00 ,$15.00 ,100,$15.00 
12/10/20,Snacks,1,2,2,$8.00 ,$8.00 ,100,$8.00 
12/11/20,Cleaning&body,1,1,1,$5.00 ,$5.00 ,100,$5.00 
12/11/20,Drinks,2,9,4.5,$13.50 ,$6.75 ,100,$13.50 
12/11/20,General Food,5,76,15.2,$556.00 ,$111.20 ,100,$556.00 
12/11/20,Meat/Fish,1,4,4,$50.00 ,$50.00 ,100,$50.00 
12/11/20,Snacks,1,10,10,$5.00 ,$5.00 ,100,$5.00 
12/12/20,Drinks,1,3,3,$4.50 ,$4.50 ,100,$4.50 
12/12/20,General Food,5,58,11.6,$732.00 ,$146.40 ,100,$732.00 
12/12/20,Meat/Fish,3,5,1.7,$70.00 ,$23.33 ,100,$70.00 
12/12/20,Snacks,1,1,1,$1.00 ,$1.00 ,100,$1.00 
12/13/20,General Food,4,36,9,$215.50 ,$53.87 ,100,$215.50 
12/13/20,Meat/Fish,2,3,1.5,$30.00 ,$15.00 ,100,$30.00 
12/13/20,Snacks,1,1,1,$0.50 ,$0.50 ,100,$0.50 
12/14/20,General Food,2,26,13,$171.00 ,$85.50 ,100,$171.00 
12/15/20,Drinks,2,5,2.5,$73.00 ,$36.50 ,100,$73.00 
12/15/20,General Food,8,64,8,$698.00 ,$87.25 ,100,$698.00 
12/15/20,Meat/Fish,1,1,1,$20.00 ,$20.00 ,100,$20.00 
12/15/20,Snacks,1,4,4,$2.00 ,$2.00 ,100,$2.00 
12/16/20,General Food,11,56,5.1,$574.50 ,$52.22 ,100,$574.50 
12/16/20,Meat/Fish,1,2,2,$30.00 ,$30.00 ,100,$30.00 
12/16/20,Snacks,1,3,3,$3.50 ,$3.50 ,100,$3.50 
