Upc,Department,qty,amount($),Name
4.99E+11,Frozen,1,20,fish 4
4.99E+11,Pasta/Rice,1,45,Cassava Flour
4.99E+11,General Food,1,4,Maggi bag
4.99E+11,General Food,1,45,Semolina
4.99E+11,Vitamins/Medicine,1,10,Rhumine 1%
4.99E+11,Household,1,10,Cocoa butter  creeme
2.00E+11,Snacks,1,0.5,chips/cookies
4.99E+11,General Food,1,65,White corn
4.99E+11,General Food,1,55,Bag of rice
4.99E+11,Meat/Fish,1,35,Box tilapia fish
4.99E+11,General Food,1,1.99,Sadine
4.99E+11,General Food,1,7,Bitetekuteku
4.99E+11,General Food,1,2,Sardines
4.99E+11,General Food,1,7,Matembele
4.99E+11,General Food,1,15,Soso
4.99E+11,General Food,1,8,Pondu
4.99E+11,General Food,1,3.5,Tea leaves
4.99E+11,General Food,1,7,Mfumbwa
4.99E+11,General Food,1,1,Small seeds item
4.99E+11,Cleaning&body,1,5,Dermo-Gel
4.99E+11,General Food,1,6,Peanut 4 cup
4.99E+11,General Food,1,4,Pack of union
4.99E+11,Drinks,1,2,Pepsi
4.99E+11,General Food,1,8,Pondu
4.99E+11,General Food,1,40,Mikeke
4.99E+11,General Food,1,10,Meat
4.99E+11,General Food,1,35,Box of fish
4.99E+11,Drinks,1,9,Pack of watercase
4.99E+11,General Food,1,50,Small fish
4.99E+11,General Food,1,199.9,Box of thomson
4.99E+11,General Food,1,30,3salty fish
4.99E+11,General Food,1,6,White garri
4.99E+11,General Food,1,150.99,Box of cassava
4.99E+11,General Food,1,21,Salt fish
4.99E+11,General Food,1,7.09,Sour sour
4.99E+11,General Food,1,14.99,White rice
4.99E+11,Drinks,1,40,Box of fanta
4.99E+11,General Food,1,70,Box of turkey tails
2.00E+11,General Food,1,6,Matembele
4.99E+11,General Food,1,6.99,Matembele
4.99E+11,Cleaning&body,1,10,Sivoclair
4.99E+11,General Food,1,50,smoke fisn
4.99E+11,General Food,1,160,Box of salty fish
4.99E+11,General Food,1,5,Pepper
4.99E+11,Clothes,1,40,clothes
4.99E+11,Clothes,1,10,Flag
2.00E+11,General Food,1,6,Bitekuteku
4.99E+11,General Food,1,6.99,Bitekuteju
4.99E+11,Cleaning&body,1,30,Sandal
2.00E+11,Drinks,1,0.5,WAter
4.99E+11,General Food,1,28,rice
4.99E+11,General Food,1,28,rice
4.99E+11,General Food,1,50.99,Jasmine rice
4.99E+11,Drinks,1,39.99,Box of jamica ginger
4.99E+11,General Food,1,6.99,Bitter leaves
4.99E+11,General Food,1,26,Golden elephant
4.99E+11,General Food,1,5,Kwanga
4.99E+11,General Food,1,7,Safou
4.99E+11,Household,1,9.99,Ariel soup
4.99E+11,Frozen,1,7,placali
2.00E+11,General Food,1,1,Onga  tomate bouillon
2.00E+11,Household,1,1.25,Tissue
2.00E+11,General Food,1,1.5,Eggplant
2.00E+11,Pasta/Rice,1,3,water
2.00E+11,General Food,1,2.5,Idk
2.00E+11,General Food,1,3,food
2.00E+11,Pasta/Rice,1,3.99,Vbh
2.01E+11,General Food,1,1,Whole nutmeg
2.01E+11,General Food,1,5,K
2.01E+11,Pasta/Rice,1,6.66,Fufu
2.01E+11,General Food,1,7,safou
2.01E+11,General Food,1,8,Cassava (large)
2.01E+11,General Food,1,10,kagz
2.01E+11,General Food,1,11,Gari
2.02E+11,Cleaning&body,1,15,Portabke
2.02E+11,Household,1,17,Idk
2.02E+11,General Food,1,2,Sardine
2.02E+11,General Food,1,20.99,Fish
2.03E+11,General Food,1,30,PaymenT mads
2.04E+11,Clothes,1,40,African fabri
2.04E+11,Meat/Fish,1,50,Bike
2.05E+11,Clothes,1,50,African clotges
2.08E+11,General Food,1,5,Noflaye
2.10E+11,General Food,1,100,PAyment
2.12E+11,General Food,1,120,Fish
2.20E+11,General Food,1,2099,FisH
2.45E+11,General Food,1,45,Rice jasmine
87162424,General Food,1,1,Evaporated milk
651813035,General Food,1,1,Green Onions
9800895007,General Food,1,4.2,Nutella
10181041655,General Food,1,5,Palmer's Cocoa Butter Formula
10700101099,Snacks,1,1.25,Jolly Rancher
11111012080,Cleaning&body,1,10.99,Dove Men+Care(Tm):Extra Fresh 4.25 Oz
11111012172,Cleaning&body,1,5,Dove Men+Care(Tm):Extra Fresh 4.25 Oz
11111013773,Cleaning&body,1,5,Careaa
11111025523,Cleaning&body,1,8,DOve
11111123311,Cleaning&body,1,5,Dove:Go Fresh Cool Moisture
11111172685,Cleaning&body,1,1,Dove Men+Care(Tm):Extra Fresh
11111396487,Cleaning&body,1,8,Dove
11111504219,Cleaning&body,1,1,Dove
11111611207,Cleaning&body,1,3.5,Dove:Sensitive Skin - Unscented - Two Pack
11111613287,Cleaning&body,1,4,Dove:Gentle Exfoliating 1/4 Moisturizing Cream 4.25 Oz
11111614246,Cleaning&body,1,2.5,Dove:White 1/4 Moisturizing Cream
11111653221,Cleaning&body,1,6,Dove Men+Care E CC [MM]
